Date	Time	Severity	PID	TID	Function	Message
14-06-2025	15:04:50.687	 INFO	 22136	 12992	DllMain	"DLL_PROCESS_ATTACH "
14-06-2025	15:04:50.704	 INFO	 22136	 22524	DllMain	"DLL_PROCESS_DETACH "
14-06-2025	15:04:51.008	 INFO	 19472	 20252	DllMain	"DLL_PROCESS_ATTACH "
14-06-2025	15:04:51.034	 INFO	 19472	 18068	DllMain	"DLL_PROCESS_DETACH "
14-06-2025	15:07:25.544	 INFO	 18896	 22856	DllMain	"DLL_PROCESS_ATTACH "
14-06-2025	15:07:25.553	 INFO	 18896	 12528	DllMain	"DLL_PROCESS_DETACH "
14-06-2025	15:07:25.700	 INFO	 10524	 15876	DllMain	"DLL_PROCESS_ATTACH "
14-06-2025	15:07:25.709	 INFO	 10524	 12656	DllMain	"DLL_PROCESS_DETACH "
